PROD_DATE,WELL_NAME,ON_STREAM_HRS,BOTTOMHOLE_FLOWING_PRESSURE (PSI),DOWNHOLE_TEMPERATURE (deg F),ANNULUS_PRESS (PSI),CHOKE_SIZE (%),WELL_HEAD_PRESSURE (PSI),WELL_HEAD_TEMPERATURE (deg F),CUMULATIVE_OIL_PROD (STB),CUMULATIVE_FORMATION_GAS_PROD (MSCF),CUMULATIVE_TOTAL_GAS_PROD (MSCF),CUMULATIVE_WATER_PROD (BBL),RESERVOIR_CLASSIFICATION
2012-02-17,Well_#2,24.0,3000,208.117,0.0,45.39962,714.561,129.175,14436,8450,8450,11653,KEMA
2012-02-18,Well_#2,24.0,2961,208.254,0.0,49.24105,724.65,130.511,14956,8756,8756,12205,KEMA
2012-02-19,Well_#2,24.0,2872,208.408,0.0,51.34668,706.005,143.962,15609,9137,9137,12823,KEMA
2012-02-20,Well_#2,24.0,2822,208.347,0.0,51.51368,660.176,148.707,16247,9512,9512,13526,KEMA
2012-02-21,Well_#2,24.0,2788,208.319,0.0,51.64507,654.228,154.51,16871,9879,9879,14198,KEMA
2012-02-22,Well_#2,24.0,2768,208.304,0.0,51.72495,600.719,145.94,17347,10158,10158,14743,KEMA
2012-02-23,Well_#2,24.0,2755,208.285,0.0,51.67505,561.092,133.332,17757,10400,10400,15222,KEMA
2012-02-24,Well_#2,24.0,2732,208.356,0.0,54.1611,583.638,145.628,18383,10766,10766,15778,KEMA
2012-02-25,Well_#2,24.0,2638,208.581,0.0,58.55693,600.719,165.703,19324,11308,11308,16549,KEMA
2012-02-26,Well_#2,24.0,2601,208.56,0.0,58.5498,526.178,155.895,20062,11734,11734,17171,KEMA
2012-02-27,Well_#2,18.94,2594,208.46,0.0,46.19174,486.839,142.571,20462,11968,11968,17596,KEMA
2012-02-28,Well_#2,0.0,2678,202.481,0.0,0.0,796.935,45.955,20462,11968,11968,17596,KEMA
2012-02-29,Well_#2,0.0,2748,200.447,0.0,0.0,918.858,45.609,20462,11968,11968,17596,KEMA
2012-03-01,Well_#2,0.0,2808,199.475,0.0,0.0,971.287,47.508,20462,11968,11968,17596,KEMA
2012-03-02,Well_#2,0.0,2867,198.88,0.0,0.0,1022.2,44.663,20462,11968,11968,17596,KEMA
2012-03-03,Well_#2,0.0,2810,191.529,0.0,0.0,1011.84,45.71,20462,11968,11968,17596,KEMA
2012-03-04,Well_#2,0.0,2981,197.956,0.0,0.0,1098.46,47.214,20462,11968,11968,17596,KEMA
2012-03-05,Well_#2,0.0,3030,197.477,0.0,0.87294,1171.08,47.143,20462,11968,11968,17596,KEMA
2012-03-06,Well_#2,0.0,3079,197.038,0.0,0.09949,406.291,50.547,20462,11968,11968,17596,KEMA
2012-03-07,Well_#2,0.0,3168,196.356,0.0,0.0,1097.77,53.919,20462,11968,11968,17596,KEMA
2012-03-08,Well_#2,0.0,3301,196.886,0.0,0.0,1251.34,46.945,20462,11968,11968,17596,KEMA
2012-03-09,Well_#2,0.0,3358,196.849,0.0,0.0,1304.67,49.197,20462,11968,11968,17596,KEMA
2012-03-10,Well_#2,0.0,3392,196.754,0.0,0.0,1362.69,47.822,20462,11968,11968,17596,KEMA
2012-03-11,Well_#2,0.0,3427,196.65,0.0,0.0,1383.04,47.32,20462,11968,11968,17596,KEMA
2012-03-12,Well_#2,0.0,3460,196.546,0.0,0.0,1440.93,45.906,20462,11968,11968,17596,KEMA
2012-03-13,Well_#2,0.0,3492,196.442,0.0,0.0,1406.51,46.534,20462,11968,11968,17596,KEMA
2012-03-14,Well_#2,0.0,3523,196.349,0.0,0.0,1432.98,47.871,20462,11968,11968,17596,KEMA
2012-03-15,Well_#2,0.0,3549,196.256,0.0,0.0,1479.58,47.87,20462,11968,11968,17596,KEMA
2012-03-16,Well_#2,0.0,3574,196.171,0.0,0.0,1461.14,48.532,20462,11968,11968,17596,KEMA
2012-03-17,Well_#2,8.21,3353,206.13,0.0,18.64237,547.002,117.571,20554,12020,12020,18008,KEMA
2012-03-18,Well_#2,24.0,3243,208.211,0.0,50.06461,538.745,155.254,20770,12144,12144,19048,KEMA
2012-03-19,Well_#2,24.0,3152,208.519,0.0,50.2775,599.32,158.547,20993,12272,12272,20179,KEMA
2012-03-20,Well_#2,24.0,3070,208.58,0.0,50.39967,633.653,162.378,21219,12401,12401,21246,KEMA
2012-03-21,Well_#2,24.0,3015,208.547,0.0,51.93894,617.08,139.582,21604,12631,12631,22005,KEMA
2012-03-22,Well_#2,24.0,2968,208.52,0.0,51.91092,591.286,150.327,21947,12841,12841,22703,KEMA
2012-03-23,Well_#2,24.0,2932,208.483,0.0,51.93322,593.813,155.606,22303,13056,13056,23501,KEMA
2012-03-24,Well_#2,24.0,2895,208.504,0.0,53.07786,576.648,157.716,22750,13322,13322,24399,KEMA
2012-03-25,Well_#2,24.0,2790,208.693,0.0,58.23717,586.533,167.302,23360,13674,13674,25272,KEMA
2012-03-26,Well_#2,24.0,2748,208.605,0.0,58.07796,561.989,161.554,23978,14024,14024,26127,KEMA
2012-03-27,Well_#2,24.0,2710,208.595,0.0,58.09869,522.848,154.645,24543,14322,14322,26908,KEMA
2012-03-28,Well_#2,24.0,2677,208.58,0.0,55.51582,497.709,162.379,25094,14633,14633,27665,KEMA
2012-03-29,Well_#2,24.0,2644,208.625,0.0,61.56642,505.566,163.059,25719,14987,14987,28445,KEMA
2012-03-30,Well_#2,24.0,2596,208.644,0.0,63.06676,491.913,164.29,26341,15335,15335,29203,KEMA
2012-03-31,Well_#2,6.46,2633,206.7,0.0,17.40814,407.397,94.665,26399,15368,15368,29275,KEMA
2012-04-01,Well_#2,0.0,2760,200.816,0.0,0.34048,598.639,49.434,26399,15368,15368,29275,KEMA
2012-04-02,Well_#2,0.0,2826,199.587,0.0,0.30942,700.602,50.508,26399,15368,15368,29275,KEMA
2012-04-03,Well_#2,0.0,2885,198.866,0.0,0.29179,754.406,48.103,26399,15368,15368,29275,KEMA
2012-04-04,Well_#2,0.0,2941,198.154,0.0,0.29072,871.465,47.537,26399,15368,15368,29275,KEMA
2012-04-05,Well_#2,0.0,2965,197.803,0.0,0.30435,1042.51,49.35,26399,15368,15368,29275,KEMA
2012-04-06,Well_#2,0.0,3015,196.89,0.0,0.29432,1184.46,49.28,26399,15368,15368,29275,KEMA
2012-04-07,Well_#2,0.0,3195,197.256,0.0,0.2982,1379.78,51.259,26399,15368,15368,29275,KEMA
2012-04-08,Well_#2,0.0,3278,197.178,0.0,0.28477,1466.4,46.539,26399,15368,15368,29275,KEMA
2012-04-09,Well_#2,0.0,3318,197.02,0.0,0.25774,1483.47,47.207,26399,15368,15368,29275,KEMA
2012-04-10,Well_#2,0.0,3354,196.88,0.0,0.23422,1445.47,47.812,26399,15368,15368,29275,KEMA
2012-04-11,Well_#2,0.0,3389,196.75,0.0,0.23375,1478.61,46.487,26399,15368,15368,29275,KEMA
2012-04-12,Well_#2,0.0,3425,196.63,0.0,0.22956,1534.94,47.878,26399,15368,15368,29275,KEMA
2012-04-13,Well_#2,0.0,3456,196.517,0.0,0.26795,1515.25,48.164,26399,15368,15368,29275,KEMA
2012-04-14,Well_#2,0.0,3489,196.416,0.0,0.25487,1546.82,50.525,26399,15368,15368,29275,KEMA
2012-04-15,Well_#2,0.0,3522,196.317,0.0,0.2514,1583.01,52.683,26399,15368,15368,29275,KEMA
2012-04-16,Well_#2,0.0,3552,196.226,0.0,0.26485,1594.97,53.957,26399,15368,15368,29275,KEMA
2012-04-17,Well_#2,0.0,3582,196.144,0.0,0.25473,1642.0,54.419,26399,15368,15368,29275,KEMA
2012-04-18,Well_#2,0.0,3611,196.063,0.0,0.21309,1707.91,54.147,26399,15368,15368,29275,KEMA
2012-04-19,Well_#2,16.38,3434,205.038,0.0,30.73985,542.366,89.099,26481,15415,15415,29766,KEMA
2012-04-20,Well_#2,24.0,3275,208.313,0.0,51.03751,465.917,165.411,26654,15515,15515,31030,KEMA
2012-04-21,Well_#2,24.0,3162,208.551,0.0,51.01943,545.715,169.905,26922,15670,15670,32123,KEMA
2012-04-22,Well_#2,24.0,3101,208.528,0.0,51.07896,560.183,162.485,27243,15852,15852,33002,KEMA
2012-04-23,Well_#2,24.0,3072,208.466,0.0,51.07343,570.685,151.208,27561,16033,16033,33879,KEMA
2012-04-24,Well_#2,24.0,3037,208.471,0.0,51.1227,587.21,152.767,27902,16227,16227,34702,KEMA
2012-04-25,Well_#2,24.0,3007,208.457,0.0,51.12215,565.442,152.685,28242,16420,16420,35473,KEMA
2012-04-26,Well_#2,24.0,2951,208.614,0.0,53.60861,547.631,158.647,28639,16645,16645,36372,KEMA
2012-04-27,Well_#2,24.0,2891,208.664,0.0,55.20027,561.213,160.347,29083,16896,16896,37283,KEMA
2012-04-28,Well_#2,24.0,2803,208.767,0.0,57.97809,535.145,169.748,29658,17220,17220,38097,KEMA
2012-04-29,Well_#2,24.0,2733,208.759,0.0,60.26763,531.429,170.843,30266,17563,17563,39018,KEMA
2012-04-30,Well_#2,24.0,2662,208.767,0.0,63.06849,497.012,171.896,30931,17936,17936,39945,KEMA
2012-05-01,Well_#2,24.0,2623,208.725,0.0,66.33456,470.967,170.023,31552,18284,18284,40813,KEMA
2012-05-02,Well_#2,9.71,2610,208.673,0.0,27.55298,443.258,167.018,31763,18404,18404,41112,KEMA
2012-05-03,Well_#2,0.0,2773,201.483,0.0,0.0,974.637,51.048,31763,18404,18404,41112,KEMA
2012-05-04,Well_#2,0.0,2847,199.964,0.0,0.0,993.547,49.594,31763,18404,18404,41112,KEMA
2012-05-05,Well_#2,0.0,2908,199.015,0.0,0.0,1074.09,48.484,31763,18404,18404,41112,KEMA
2012-05-06,Well_#2,0.0,2963,198.223,0.0,0.0,1154.32,50.192,31763,18404,18404,41112,KEMA
2012-05-07,Well_#2,0.0,3035,197.753,0.0,0.0,1317.27,50.432,31763,18404,18404,41112,KEMA
2012-05-08,Well_#2,0.0,3188,197.801,0.0,0.0,1395.48,49.437,31763,18404,18404,41112,KEMA
2012-05-09,Well_#2,0.0,3261,197.551,0.0,0.0,1427.81,50.173,31763,18404,18404,41112,KEMA
2012-05-10,Well_#2,0.0,3304,197.33,0.0,0.0,1516.09,50.197,31763,18404,18404,41112,KEMA
2012-05-11,Well_#2,0.0,3346,197.139,0.0,0.0,1556.79,49.791,31763,18404,18404,41112,KEMA
2012-05-12,Well_#2,0.0,3381,196.969,0.0,0.0,1527.93,52.067,31763,18404,18404,41112,KEMA
2012-05-13,Well_#2,0.0,3417,196.819,0.0,0.0,1520.79,52.683,31763,18404,18404,41112,KEMA
2012-05-14,Well_#2,0.0,3450,196.681,0.0,0.0,1554.97,51.083,31763,18404,18404,41112,KEMA
2012-05-15,Well_#2,0.0,3477,196.556,0.0,0.0,1634.54,49.973,31763,18404,18404,41112,KEMA
2012-05-16,Well_#2,0.0,3506,196.444,0.0,0.0,1642.92,51.98,31763,18404,18404,41112,KEMA
2012-05-17,Well_#2,0.0,3535,196.343,0.0,0.0,1636.74,48.873,31763,18404,18404,41112,KEMA
2012-05-18,Well_#2,0.0,3563,196.246,0.0,0.0,1669.19,48.317,31763,18404,18404,41112,KEMA
2012-05-19,Well_#2,0.0,3587,196.155,0.0,0.0,1676.1,52.04,31763,18404,18404,41112,KEMA
2012-05-20,Well_#2,0.0,3609,196.071,0.0,0.0,1669.0,52.188,31763,18404,18404,41112,KEMA
2012-05-21,Well_#2,7.38,3296,207.069,0.0,21.55669,428.281,151.45,31906,18486,18486,41340,KEMA
2012-05-22,Well_#2,24.0,3105,208.621,0.0,71.45498,427.386,182.157,32409,18785,18785,42109,KEMA
2012-05-23,Well_#2,24.0,2929,208.818,0.0,66.70029,520.35,174.195,32946,19095,19095,42973,KEMA
2012-05-24,Well_#2,24.0,2909,208.568,0.0,55.63128,518.375,165.415,33451,19387,19387,43776,KEMA
2012-05-25,Well_#2,24.0,2898,208.459,0.0,54.68954,491.965,159.05,33804,19591,19591,44539,KEMA
2012-05-26,Well_#2,20.0,2901,207.913,0.0,54.7706,474.76,133.571,34098,19761,19761,45186,KEMA
2012-05-27,Well_#2,0.0,2977,204.016,0.0,0.0,404.48,56.359,34098,19761,19761,45186,KEMA
2012-05-28,Well_#2,0.0,3077,198.604,0.0,0.21333,864.782,50.574,34098,19761,19761,45186,KEMA
2012-05-29,Well_#2,0.0,3125,197.531,0.0,0.17755,1141.99,52.694,34098,19761,19761,45186,KEMA
2012-05-30,Well_#2,0.0,3197,197.26,0.0,0.16133,1292.1,53.825,34098,19761,19761,45186,KEMA
2012-05-31,Well_#2,0.0,3328,197.337,0.0,0.1548,1425.71,50.878,34098,19761,19761,45186,KEMA
2012-06-01,Well_#2,0.0,3393,197.096,0.0,0.14737,1482.95,48.628,34098,19761,19761,45186,KEMA
2012-06-02,Well_#2,0.0,3429,196.873,0.0,0.12591,1482.04,53.06,34098,19761,19761,45186,KEMA
2012-06-03,Well_#2,0.0,3461,196.698,0.0,0.13429,1503.52,54.675,34098,19761,19761,45186,KEMA
2012-06-04,Well_#2,0.0,3492,196.541,0.0,0.11003,1510.11,55.425,34098,19761,19761,45186,KEMA
2012-06-05,Well_#2,0.0,3519,196.393,0.0,0.13391,1515.92,52.06,34098,19761,19761,45186,KEMA
2012-06-06,Well_#2,0.0,3543,196.271,0.0,0.11358,1554.83,53.859,34098,19761,19761,45186,KEMA
2012-06-07,Well_#2,0.0,3565,196.159,0.0,0.09105,1619.89,55.22,34098,19761,19761,45186,KEMA
2012-06-08,Well_#2,0.0,3587,196.063,0.0,0.09106,1589.92,57.012,34098,19761,19761,45186,KEMA
2012-06-09,Well_#2,0.0,3607,195.975,0.0,0.08062,1584.16,57.411,34098,19761,19761,45186,KEMA
2012-06-10,Well_#2,10.45,3398,206.473,0.0,22.0751,488.886,109.589,34182,19808,19808,45621,KEMA
2012-06-11,Well_#2,24.0,3240,208.197,0.0,59.03621,475.381,165.648,34394,19930,19930,46909,KEMA
2012-06-12,Well_#2,24.0,3163,208.401,0.0,53.20649,522.94,166.223,34650,20076,20076,47922,KEMA
2012-06-13,Well_#2,24.0,3128,208.33,0.0,50.26562,544.507,154.363,34886,20210,20210,48669,KEMA
2012-06-14,Well_#2,24.0,3100,208.324,0.0,50.19992,574.873,151.656,35126,20347,20347,49372,KEMA
2012-06-15,Well_#2,24.0,3072,208.27,0.0,49.9383,540.248,146.684,35371,20487,20487,49976,KEMA
2012-06-16,Well_#2,24.0,3055,208.222,0.0,49.81392,530.575,140.235,35592,20614,20614,50526,KEMA
2012-06-17,Well_#2,24.0,3038,208.226,0.0,50.2682,541.255,145.098,35816,20741,20741,51071,KEMA
2012-06-18,Well_#2,24.0,3018,208.249,0.0,50.53397,538.186,146.338,36045,20875,20875,51626,KEMA
2012-06-19,Well_#2,24.0,2998,208.261,0.0,50.87495,505.049,145.705,36264,21003,21003,52182,KEMA
2012-06-20,Well_#2,24.0,2989,208.215,0.0,51.11381,513.969,143.861,36469,21123,21123,52718,KEMA
2012-06-21,Well_#2,24.0,2972,208.295,0.0,51.78987,514.066,148.181,36680,21246,21246,53267,KEMA
2012-06-22,Well_#2,24.0,2926,208.534,0.0,53.70095,509.14,158.812,37018,21442,21442,54012,KEMA
2012-06-23,Well_#2,24.0,2853,208.659,0.0,54.88666,541.162,166.485,37440,21686,21686,54835,KEMA
2012-06-24,Well_#2,24.0,2819,208.569,0.0,54.86524,509.399,163.822,37828,21911,21911,55546,KEMA
2012-06-25,Well_#2,24.0,2794,208.556,0.0,56.46771,494.095,162.178,38275,22168,22168,56311,KEMA
2012-06-26,Well_#2,24.0,2754,208.613,0.0,59.06224,473.35,164.629,38710,22418,22418,57059,KEMA
2012-06-27,Well_#2,24.0,2719,208.646,0.0,60.94112,476.274,161.871,39162,22678,22678,57810,KEMA
2012-06-28,Well_#2,24.0,2664,208.763,0.0,67.52055,469.315,168.754,39797,23037,23037,58784,KEMA
2012-06-29,Well_#2,24.0,2582,208.818,0.0,71.13085,437.974,170.832,40443,23398,23398,59735,KEMA
2012-06-30,Well_#2,3.29,2631,207.486,0.0,9.9037,394.6,106.17,40458,23407,23407,59761,KEMA
2012-07-01,Well_#2,0.0,2791,201.018,0.0,0.0,680.204,61.444,40458,23407,23407,59761,KEMA
2012-07-02,Well_#2,0.0,2864,199.735,0.0,0.0,783.514,60.377,40458,23407,23407,59761,KEMA
2012-07-03,Well_#2,0.0,2925,198.797,0.0,0.0,901.391,60.129,40458,23407,23407,59761,KEMA
2012-07-04,Well_#2,0.0,2978,198.111,0.0,0.0,1061.38,57.8,40458,23407,23407,59761,KEMA
2012-07-05,Well_#2,0.0,3032,197.559,0.0,0.0,1179.56,60.842,40458,23407,23407,59761,KEMA
2012-07-06,Well_#2,0.0,3122,197.429,0.0,0.0,1324.39,59.74,40458,23407,23407,59761,KEMA
2012-07-07,Well_#2,0.0,3257,197.567,0.0,0.0,1421.55,59.697,40458,23407,23407,59761,KEMA
2012-07-08,Well_#2,0.0,3321,197.388,0.0,0.0,1517.41,57.181,40458,23407,23407,59761,KEMA
2012-07-09,Well_#2,0.0,3361,197.216,0.0,0.0,1501.25,57.548,40458,23407,23407,59761,KEMA
2012-07-10,Well_#2,0.0,3396,197.066,0.0,0.0,1523.77,57.512,40458,23407,23407,59761,KEMA
2012-07-11,Well_#2,0.0,3430,196.926,0.0,0.0,1621.07,58.092,40458,23407,23407,59761,KEMA
2012-07-12,Well_#2,0.0,3462,196.797,0.0,0.0,1602.59,60.161,40458,23407,23407,59761,KEMA
2012-07-13,Well_#2,0.0,3492,196.674,0.0,0.0,1594.21,62.117,40458,23407,23407,59761,KEMA
2012-07-14,Well_#2,0.0,3519,196.561,0.0,0.0,1620.31,62.603,40458,23407,23407,59761,KEMA
2012-07-15,Well_#2,0.0,3546,196.46,0.0,0.0,1695.67,62.946,40458,23407,23407,59761,KEMA
2012-07-16,Well_#2,0.0,3575,196.365,0.0,0.0,1719.65,60.016,40458,23407,23407,59761,KEMA
2012-07-17,Well_#2,0.0,3600,196.265,0.0,0.0,1738.94,56.376,40458,23407,23407,59761,KEMA
2012-07-18,Well_#2,0.0,3622,196.185,0.0,0.0,1777.59,57.081,40458,23407,23407,59761,KEMA
2012-07-19,Well_#2,0.0,3642,196.108,0.0,0.0,1786.2,58.619,40458,23407,23407,59761,KEMA
2012-07-20,Well_#2,0.0,3659,196.025,0.0,0.0,1756.01,57.181,40458,23407,23407,59761,KEMA
2012-07-21,Well_#2,22.38,3350,207.539,0.0,53.36457,407.95,147.316,40569,23473,23473,60962,KEMA
2012-07-22,Well_#2,24.0,3213,208.486,0.0,73.75388,415.191,164.312,40735,23572,23572,62312,KEMA
2012-07-23,Well_#2,24.0,3098,208.64,0.0,60.49435,470.691,171.136,40999,23729,23729,63464,KEMA
2012-07-24,Well_#2,24.0,3094,208.413,0.0,52.21302,502.354,159.084,41204,23850,23850,64208,KEMA
2012-07-25,Well_#2,24.0,3063,208.449,0.0,52.14661,512.672,157.98,41433,23985,23985,64942,KEMA
2012-07-26,Well_#2,24.0,3037,208.418,0.0,51.87341,504.607,155.986,41661,24120,24120,65620,KEMA
2012-07-27,Well_#2,24.0,3016,208.386,0.0,51.81179,496.999,153.508,41885,24253,24253,66291,KEMA
2012-07-28,Well_#2,24.0,3004,208.311,0.0,51.90567,470.83,149.675,42068,24361,24361,66871,KEMA
2012-07-29,Well_#2,24.0,2991,208.346,0.0,52.87826,463.804,149.98,42269,24480,24480,67480,KEMA
2012-07-30,Well_#2,24.0,2955,208.504,0.0,54.67097,464.072,153.611,42537,24637,24637,68189,KEMA
2012-07-31,Well_#2,24.0,2885,208.694,0.0,56.89043,493.827,155.019,42887,24843,24843,69015,KEMA
2012-08-01,Well_#2,24.0,2854,208.576,0.0,56.80295,481.208,153.993,43210,25032,25032,69729,KEMA
2012-08-02,Well_#2,24.0,2813,208.646,0.0,60.2406,466.937,163.666,43594,25259,25259,70549,KEMA
2012-08-03,Well_#2,24.0,2747,208.706,0.0,61.83797,462.491,164.748,44038,25521,25521,71393,KEMA
2012-08-04,Well_#2,24.0,2655,208.772,0.0,68.75176,439.02,162.913,44771,25945,25945,72540,KEMA
2012-08-05,Well_#2,24.0,2601,208.746,0.0,71.31071,425.982,168.049,45354,26286,26286,73416,KEMA
2012-08-06,Well_#2,3.79,2622,208.524,0.0,11.47147,383.028,159.972,45408,26318,26318,73523,KEMA
2012-08-07,Well_#2,0.0,2792,201.12,0.0,0.0,923.196,61.719,45408,26318,26318,73523,KEMA
2012-08-08,Well_#2,0.0,2865,199.72,0.0,0.0,1011.7,59.49,45408,26318,26318,73523,KEMA
2012-08-09,Well_#2,0.0,2925,198.701,0.0,0.0,1106.29,60.428,45408,26318,26318,73523,KEMA
2012-08-10,Well_#2,0.0,2986,198.133,0.0,0.0,1229.4,60.065,45408,26318,26318,73523,KEMA
2012-08-11,Well_#2,0.0,3132,198.19,0.0,0.0,1399.3,59.943,45408,26318,26318,73523,KEMA
2012-08-12,Well_#2,0.0,3225,197.939,0.0,0.0,1437.24,59.59,45408,26318,26318,73523,KEMA
2012-08-13,Well_#2,0.0,3273,197.686,0.0,0.0,1436.72,61.903,45408,26318,26318,73523,KEMA
2012-08-14,Well_#2,0.0,3316,197.472,0.0,0.0,1527.58,61.799,45408,26318,26318,73523,KEMA
2012-08-15,Well_#2,0.0,3355,197.287,0.0,0.0,1547.92,63.404,45408,26318,26318,73523,KEMA
2012-08-16,Well_#2,0.0,3393,197.12,0.0,0.0,1515.98,64.543,45408,26318,26318,73523,KEMA
2012-08-17,Well_#2,0.0,3424,196.966,0.0,0.0,1539.38,63.324,45408,26318,26318,73523,KEMA
2012-08-18,Well_#2,0.0,3455,196.831,0.0,0.0,1580.17,63.076,45408,26318,26318,73523,KEMA
2012-08-19,Well_#2,0.0,3489,196.71,0.0,0.0,1668.25,61.717,45408,26318,26318,73523,KEMA
